"compartments","tank","treat","B","C","P","R","E","alpha","M"
"I_d","C2","1HW",6.38805718928818,1.05937423640931,0.420257173366209,0.478939678498017,0.160177384545088,0.8488,NA
"I_d","D1","0HW",5.64695476722634,1.7694073554524,0.185220116365024,1.31665284694297,0.267534392144403,0.8488,NA
"I_d","D2","0HW",8.23931102101428,1.40430883444834,0.270249401489268,0.921727937190482,0.212331495768589,0.8488,NA
"I_d","E1","3HW",6.10628159747694,1.54716806876332,0.401719735420795,0.911516521345514,0.233931811997014,0.8488,NA
"I_d","E2","3HW",2.13955328492901,0.328406439158818,0.140756819976254,0.137994565581751,0.0496550536008133,0.8488,NA
"I_d","F1","1HW",4.23444443817428,0.47579362973164,0.278575409961488,0.125278222954729,0.071939996815424,0.8488,NA
"I_d","F2","1HW",8.34628980192967,1.09558647684149,0.549085278406067,0.38084852313699,0.165652675298433,0.8488,NA
"B_f","A1","0HW",121.216067566718,18.4360166519536,2.50811410466482,11.2411984524744,4.68670409481432,0.783559493502746,NA
"B_f","A2","0HW",138.161389027214,23.1778244830412,3.0566552232536,12.2141961024706,7.90697315731697,0.762834640930663,NA
"B_f","B2","3HW",104.471295295079,22.5183307965654,2.831892229553,15.1711838686836,4.51525469832877,0.806240706484641,NA
"B_f","C1","1HW",92.4235166078924,25.1123375786957,3.36610162138331,12.0383051836428,9.70793077366959,0.7327884627145,NA
"B_f","C2","1HW",92.5944431633347,23.3729969291359,3.0722818442911,12.5296086534996,7.77110643134518,0.758009003139163,NA
"B_f","D1","0HW",50.231952992616,12.4240024150027,1.76935009324032,3.65750219664189,6.99715012512046,0.639125031066378,NA
"B_f","D2","0HW",99.8381484384268,14.9735617408671,1.91854753267142,9.17626914158599,3.87874506660964,0.790414421077115,NA
"B_f","E1","3HW",112.788979119462,24.5630199090711,3.11377503166557,16.3376240591104,5.11162081829512,0.803327266663953,NA
"B_f","E2","3HW",96.1107080269589,21.643486069348,2.7507423910992,13.6954560707461,5.19728760750269,0.793618754127648,NA
"B_f","F1","1HW",89.4626190132622,21.186686886836,2.73687828052992,12.4777199892315,5.97208861707466,0.778413176045948,NA
"B_f","F2","1HW",133.041529830968,29.3499036044636,3.70991807536297,19.1264904843849,6.51349504471577,0.7996180275208,NA
"P_d","A1","0HW",758.105013599643,49.9091038774712,9.20468840814856,27.739201333555,12.9652141357676,0.740223463687151,NA
"P_d","A2","0HW",1093.27201721268,72.5902635883837,13.7299929445168,40.0030233988399,18.8572472450271,0.740223463687151,NA
"P_d","B2","3HW",1434.80582957821,142.874374809878,31.5130238681052,74.245940725799,37.1154102159739,0.740223463687151,NA
"P_d","C1","1HW",1291.09786059351,128.523943840396,28.3268586161935,66.8095802600772,33.3875049641252,0.740223463687151,NA
"P_d","C2","1HW",1243.34679494986,123.815095222478,27.3122009420724,64.3386377002646,32.1642565801409,0.740223463687151,NA
"P_d","D1","0HW",1057.34502496651,69.7670050866581,12.95472598565,38.6884481706751,18.123830930333,0.740223463687151,NA
"P_d","D2","0HW",625.993731985548,41.5333012747328,7.83869879162893,22.9052253363158,10.7893771467882,0.740223463687151,NA
"P_d","E1","3HW",1029.60392968781,102.47721214704,22.5778087776674,53.2782281468174,26.6211752225551,0.740223463687151,NA
"P_d","E2","3HW",762.425348110259,75.7254814334949,16.60106195107,39.4527162050086,19.6717032774163,0.740223463687151,NA
"P_d","F1","1HW",1076.90022327771,107.200306256974,23.6265440855141,55.7256379203462,27.8481242511133,0.740223463687151,NA
"P_d","F2","1HW",1184.45381398936,117.933871165021,26.0062767233105,61.2911418764956,30.636452565215,0.740223463687151,NA
"P_o","A1","0HW",406.772014005602,9.72892177246469,1.54573365322129,6.31523513893018,1.86795298031322,0.808,NA
"P_o","A2","0HW",1024.88217180205,24.5124987269124,3.89455225284781,15.9115467184974,4.70639975556717,0.808,NA
"P_o","B2","3HW",1003.02941176471,27.3515302954419,4.41332941176471,17.6867070669523,5.25149381672484,0.808,NA
"P_o","C1","1HW",546.661695611578,14.9068748667813,2.40531146069094,9.63944343166833,2.86211997442201,0.808,NA
"P_o","C2","1HW",591.869366946779,16.1396393077917,2.60422521456583,10.4366033461299,3.098810747096,0.808,NA
"P_o","D1","0HW",490.875969187675,11.7404682224375,1.86532868291316,7.62096964081634,2.254169898708,0.808,NA
"P_o","D2","0HW",549.640912231559,13.1459718317134,2.08863546647992,8.53330977354449,2.52402659168897,0.808,NA
"P_o","E1","3HW",897.568033613445,24.4757122529497,3.94929934789916,15.8270761524842,4.69933675256634,0.808,NA
"P_o","E2","3HW",762.111299719888,20.7819532092415,3.35328971876751,13.4385284742996,3.99013501617436,0.808,NA
"P_o","F1","1HW",966.259111111111,26.3488438532469,4.25154008888889,17.0383257445346,5.0589780198234,0.808,NA
"P_o","F2","1HW",796.840070961718,21.7289693461593,3.50609631223156,14.0509109194652,4.17196211446259,0.808,NA
"POC","A1","0HW",314.7866004,NA,NA,NA,NA,NA,NA
"POC","A2","0HW",325.3189208,NA,NA,NA,NA,NA,NA
"POC","B2","3HW",327.4403946,NA,NA,NA,NA,NA,NA
"POC","C1","1HW",288.7781929,NA,NA,NA,NA,NA,NA
"POC","C2","1HW",258.1503725,NA,NA,NA,NA,NA,NA
"POC","D1","0HW",397.3110941,NA,NA,NA,NA,NA,NA
"POC","D2","0HW",347.1341402,NA,NA,NA,NA,NA,NA
"POC","E1","3HW",412.0423673,NA,NA,NA,NA,NA,NA
"POC","E2","3HW",320.0512592,NA,NA,NA,NA,NA,NA
"POC","F1","1HW",383.823736,NA,NA,NA,NA,NA,NA
"POC","F2","1HW",293.0099183,NA,NA,NA,NA,NA,NA
