"tank","species","length_µm","length_mm","treatment","temperature","estimate_a","estimate_b","DW_mg","DW_µg","B_µg","B_mg.m2"
"C1","A_o",7862.86268267892,7.86286268267892,"1HW","25",-1.69,2.6,4.35020574013964,4350.20574013964,1356.82917034955,0.886816451208859
"C1","I_o",3437.16,3.43716,"1HW","25",-1.77,2.51,0.376583571625694,376.583571625694,113.351655059334,0.0740860490583883
"C1","G_h",1155.886,1.155886,"1HW","25",0.19,2.34,2.17380762849182,2173.80762849182,94.5788918234737,0.0618162691656691
"C1","A_o",11536.8658100376,11.5368658100376,"1HW","25",-1.69,2.6,11.7876813457163,11787.6813457163,3676.57781172892,2.40299203380975
"C1","I_o",8800.868,8.800868,"1HW","25",-1.77,2.51,3.98803557028579,3988.03557028579,1200.39870665602,0.784574318075832
"C1","G_h",1439.502,1.439502,"1HW","25",0.19,2.34,3.63259280079799,3632.59280079799,158.048300614239,0.103299542885124
"C1","A_o",10679.3333209985,10.6793333209985,"1HW","25",-1.69,2.6,9.64305777425821,9643.05777425821,3007.66971979113,1.96579720247787
"C1","I_o",10077.7,10.0777,"1HW","25",-1.77,2.51,5.60321360414818,5603.21360414818,1686.5672948486,1.10233156526052
"C1","G_h",1289.198,1.289198,"1HW","25",0.19,2.34,2.8063893142496,2806.3893142496,122.101508840097,0.0798049077386256
"C1","A_o",10297.6306952533,10.2976306952533,"1HW","25",-1.69,2.6,8.77237145094423,8772.37145094423,2736.1026555495,1.78830238924804
"C1","I_o",12597.663,12.597663,"1HW","25",-1.77,2.51,9.81132960446489,9811.32960446489,2953.21021094393,1.93020275225094
"C1","G_h",1834.219,1.834219,"1HW","25",0.19,2.34,6.4043606363854,6404.3606363854,278.64348431211,0.182119924387
"C1","A_o",13376.2412810063,13.3762412810063,"1HW","25",-1.69,2.6,17.3168400029895,17316.8400029895,5401.12239693242,3.53014535747217
"C1","I_o",9183.779,9.183779,"1HW","25",-1.77,2.51,4.43796399862046,4437.96399862046,1335.82716358476,0.873089649401803
"C1","G_h",3098.116,3.098116,"1HW","25",0.19,2.34,21.8357723869701,21835.7723869701,950.039519321248,0.620940862301469
"C1","A_o",10047.2520823095,10.0472520823095,"1HW","25",-1.69,2.6,8.22854363761031,8228.54363761031,2566.48276057066,1.67743971279128
"C1","I_o",4226.998,4.226998,"1HW","25",-1.77,2.51,0.632907768373104,632.907768373104,190.505238280304,0.124513227634186
"C1","G_h",2057.858,2.057858,"1HW","25",0.19,2.34,8.38285673793775,8382.85673793775,364.724684096891,0.238382146468556
"C1","A_o",10450.867670049,10.450867670049,"1HW","25",-1.69,2.6,9.11582767269509,9115.82767269509,2843.2266511136,1.85831807262327
"C1","I_o",9635.366,9.635366,"1HW","25",-1.77,2.51,5.00621183036031,5006.21183036031,1506.86976093845,0.9848821966918
